Disease1,Disease2,Sim_score
D000170,D034081,0.10822047471826646
D000170,D034381,0.16832790360008187
D000170,D038223,0.10798117724817113
D000170,D038261,0.10328361282627707
D000170,D038642,0.10967224006628104
D000170,D038901,0.1419944241633225
D000170,D038921,0.1022454818308061
D000170,D039141,0.2464167048912656
D000170,D046088,0.1089851478219174
D000170,D046089,0.1067324027464299
D000170,D046589,0.10494479104085523
D000170,D046608,0.10692062298281735
D000170,D046648,0.10328015545557576
D000170,D047748,0.1098552181905762
D000170,D049288,0.27208487204113596
D000170,D049290,0.091988574
D000170,D049310,0.2508231375027394
D000170,D049912,0.10492436843175042
D000170,D049913,0.10674795007285987
D000170,D050798,0.10404565500089014
D000170,D051270,0.1587674884242222
D000170,D051271,0.12159851554582057
D000170,D051298,0.10762001332263678
D000170,D051299,0.1089779421645803
D000170,D051302,0.10335029099034494
D000170,D051303,0.12156051465095044
D000170,D051474,0.36250575408896096
D000170,D052120,0.10121516709924719
D000170,D052245,0.10319412026505667
D000170,D052516,0.10979157297439215
D000170,D052517,0.097683126
D000170,D052536,0.098385183
D000170,D052537,0.099170287
D000170,D052556,0.10465045532895126
D000170,D052879,0.10447023393988106
D000170,D052880,0.25499879030338785
D000170,D052919,0.097692607
D000170,D052958,0.336090853
D000170,D053421,0.34498491870845066
D000170,D053578,0.10293742833827016
D000170,D053608,0.10957437713302191
D000170,D053609,0.1120785044256584
D000170,D054000,0.10950229014113726
D000170,D054038,0.11033017346190784
D000170,D054062,0.10873944824724653
D000170,D054078,0.10130407424865503
D000170,D054080,0.10210435177805251
D000170,D054081,0.11639873945417649
D000170,D054082,0.11178176895371325
D000170,D054091,0.10718219511925162
D000170,D054220,0.15595608300966374
D000170,D054221,0.10208297799241392
D000170,D054222,0.10663106606579245
D000170,D054319,0.1044468678632374
D000170,D054546,0.1030301026582406
D000170,D054969,0.1568972598484952
D000170,D054970,0.10990846979687521
D000170,D054971,0.13859787474814086
D000170,D054972,0.10865119595353882
D000170,D054975,0.097233982
D000170,D055154,0.11400987596041963
D000170,D055534,0.2392072457790399
D000170,D055577,0.098367616
D000170,D055622,0.23914175858677272
D000170,D055756,0.11012711272550077
D000170,D055948,0.11452949778041474
D000170,D055952,0.10659421051413154
D000170,D055953,0.10608781737843412
D000170,D055955,0.10227051881398204
D000170,D055956,0.099360727
D000170,D055958,0.3071179266618783
D000170,D055964,0.10270610974456798
D000170,D056364,0.10491964594608508
D000170,D056768,0.2978552024673636
D000170,D056769,0.3020465726386483
D000170,D056784,0.17895359282819784
D000170,D056806,0.112395334
D000170,D056807,0.10286123910051728
D000170,D056886,0.096791953
D000170,D057112,0.10439997019716925
D000170,D057174,0.12384509374857403
D000170,D057177,0.15723126422864525
D000170,D057178,0.099713065
D000170,D057180,0.11284258674199507
D000170,D057774,0.10289547918420391
D000170,D058088,0.21594292311237034
D000170,D058494,0.11284858309602457
D000170,D058496,0.11022890299589075
