,Drug,Disease
1040,DB01223,D001930
1041,DB00543,D001930
1042,DB00182,D001930
1043,DB08799,D001930
1044,DB01169,D001930
1045,DB00126,D001930
1046,DB01076,D001930
1047,DB09121,D001930
1048,DB00181,D001930
1049,DB04115,D001930
1050,DB00121,D001930
1051,DB01200,D001930
1052,DB00201,D001930
1053,DB06774,D001930
1054,DB00564,D001930
1055,DB00190,D001930
1056,DB11588,D001930
1057,DB00515,D001930
1058,DB01068,D001930
1059,DB11338,D001930
1060,DB00363,D001930
1061,DB00907,D001930
1062,DB01394,D001930
1063,DB09130,D001930
1064,DB11672,D001930
1065,DB00531,D001930
1066,DB00091,D001930
1067,DB00151,D001930
1068,DB00987,D001930
1069,DB03619,D001930
1070,DB01234,D001930
1071,DB00829,D001930
1072,DB00804,D001930
1073,DB00255,D001930
1074,DB00917,D001930
1075,DB00843,D001930
1076,DB00584,D001930
1077,DB01225,D001930
1078,DB00783,D001930
1079,DB00898,D001930
1080,DB04953,D001930
1081,DB00142,D001930
1082,DB13751,D001930
1083,DB01159,D001930
1084,DB00328,D001930
1085,DB00753,D001930
1086,DB00951,D001930
1087,DB01221,D001930
1088,DB01202,D001930
1089,DB01235,D001930
1090,DB00281,D001930
1091,DB08882,D001930
1092,DB00227,D001930
1093,DB00653,D001930
1094,DB01065,D001930
1095,DB01043,D001930
1096,DB00331,D001930
1097,DB00563,D001930
1098,DB00422,D001930
1099,DB00959,D001930
1100,DB01017,D001930
1101,DB01183,D001930
1102,DB00627,D001930
1103,DB00184,D001930
1104,DB00393,D001930
1105,DB00435,D001930
1106,DB00325,D001930
1107,DB01092,D001930
1108,DB01626,D001930
1109,DB00312,D001930
1110,DB01174,D001930
1111,DB00388,D001930
1112,DB01085,D001930
1113,DB01132,D001930
1114,DB11263,D001930
1115,DB00733,D001930
1116,DB00396,D001930
1117,DB00818,D001930
1118,DB00550,D001930
1119,DB00899,D001930
1120,DB00206,D001930
1121,DB00412,D001930
1122,DB01698,D001930
1123,DB00747,D001930
1124,DB01037,D001930
1125,DB01236,D001930
1126,DB00641,D001930
1127,DB00428,D001930
1128,DB00382,D001930
1129,DB00864,D001930
1130,DB06204,D001930
1131,DB00277,D001930
1132,DB00599,D001930
1133,DB00273,D001930
1134,DB00193,D001930
1135,DB00313,D001930
1136,DB01080,D001930
1137,DB00541,D001930
1138,DB00682,D001930
1139,DB01593,D001930
1140,DB00315,D001930
1141,DB00425,D001930
1142,DB11672,D000070642
1143,DB00659,D002545
1144,DB06151,D002545
1145,DB00640,D002545
1146,DB00513,D002545
1147,DB00182,D002545
1148,DB00126,D002545
1149,DB00181,D002545
1150,DB06774,D002545
1151,DB00262,D002545
1152,DB01212,D002545
1153,DB00515,D002545
1154,DB00758,D002545
1155,DB00907,D002545
1156,DB11672,D002545
1157,DB01119,D002545
1158,DB00975,D002545
1159,DB00822,D002545
1160,DB00584,D002545
1161,DB00668,D002545
1162,DB01196,D002545
1163,DB00898,D002545
1164,DB00292,D002545
1165,DB00949,D002545
1166,DB04841,D002545
1167,DB00544,D002545
1168,DB01109,D002545
1169,DB09526,D002545
1170,DB01050,D002545
1171,DB01181,D002545
1172,DB00808,D002545
1173,DB00328,D002545
1174,DB00753,D002545
1175,DB00982,D002545
1176,DB00270,D002545
1177,DB11757,D002545
1178,DB01221,D002545
1179,DB00281,D002545
1180,DB01065,D002545
1181,DB01017,D002545
1182,DB00691,D002545
1183,DB00295,D002545
1184,DB01183,D002545
1185,DB00622,D002545
1186,DB09220,D002545
1187,DB01115,D002545
1188,DB06712,D002545
1189,DB04743,D002545
1190,DB00393,D002545
1191,DB00435,D002545
1192,DB00727,D002545
1193,DB00368,D002545
1194,DB09140,D002545
1195,DB00388,D002545
1196,DB00981,D002545
1197,DB01085,D002545
1198,DB09369,D002545
1199,DB00818,D002545
1200,DB00533,D002545
1201,DB00412,D002545
1202,DB01236,D002545
1203,DB00641,D002545
1204,DB01138,D002545
1205,DB00864,D002545
1206,DB00675,D002545
1207,DB00966,D002545
1208,DB00624,D002545
1209,DB00599,D002545
1210,DB00273,D002545
1211,DB00302,D002545
1212,DB00309,D002545
1213,DB00163,D002545
1214,DB00682,D002545
1215,DB00993,D001932
1216,DB00262,D001932
1217,DB00515,D001932
1218,DB00257,D001932
1219,DB09130,D001932
1220,DB11672,D001932
1221,DB00987,D001932
1222,DB00694,D001932
1223,DB01234,D001932
1224,DB00255,D001932
1225,DB00997,D001932
1226,DB00773,D001932
1227,DB01181,D001932
1228,DB00328,D001932
1229,DB01206,D001932
1230,DB12130,D001932
1231,DB00563,D001932
1232,DB01229,D001932
1233,DB00806,D001932
1234,DB01168,D001932
1235,DB00444,D001932
1236,DB00541,D001932
1237,DB00309,D001932
1238,DB00297,D020526
1239,DB00907,D020526
1240,DB00668,D020526
1241,DB00492,D020526
1242,DB01275,D020526
1243,DB01115,D020526
1244,DB09073,D020295
